Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,Customer_Type,City,Branch,Product,Category,Quantity,Unit_Price,Discount_%,Discount_Amount,Total_Amount,Payment_Method,Order_Type,Rating,Delivery_Minutes
ORD-012817,01-03-2024 04:59,CUST5647,Monish,31,Male,Walk-in,Ambattur,OMR,Americanoo,Beverage,1,130,0,0,136.5,Wallet,TAKE AWAY,,48
ORD-020987,14-04-2025 20:01,CUST10304,,34,Other,Member,Chengalpattu,Velachery,Cold Coffee,Beverage,2,190,0,0,399,Debit Card,Dine In,2,
ORD-000179,12-08-2023 06:36,CUST7070,Sanjay,45,Other,Walk-in,Tambaram,Besant Nagar,Hazelnut Coffee,Beverage,1,220,15,33,196.35,Credit Card,Delivery,4,
ORD-029446,03-07-2023 14:00,CUST7494,RAHUL,46,Female,  Member  ,Kanchipuram,anna nagar,Masala Tea,Beverage,2,90,0,0,189,Credit Card,Dine In,5,26
ORD-035120,06/17/2024 04:51,CUST11603,Sanjay,39,Female,Member,Kanchipuram,Besant Nagar,Americano,Beverage,2,130,0,0,273,Debit Card,Dine In,2,
ORD-024416,07-10-2024 01:05,CUST20813,Priya,21,Other,Regular,Kanchipuram,T Nagar,Masala Tea,Beverage,2,90,10,18,170.1,UPI,Dine In,4,62
ORD-044244,09-07-2023 00:20,CUST24922,Sneha,30,Female,Walk-in,Tambaram,Mylapore,Iced Latte,Beverage,1,180,5,9,179.55,DEBIT CARD,take away,5,28
ORD-032541,23-11-2023 16:19,CUST1293,Sneha,62,Other,Regular,Kanchipuram,Velachery,Blueberry Muffin,Food,1,140,5,7,139.65,Wallet,Dine In,2,
ORD-003429,21-08-2023 18:54,CUST19884,Ananya,43,Male,Walk-in,Kanchipuram,Porur,Filter Coffee,Beverage,1,90,20,18,75.6,UPI,Delivery,5,
ORD-027611,10/14/2023 17:30,CUST4932,Aishwarya,61,Other,Regular,Chengalpattu,T Nagar,Chocolate Muffin,Food,1,150,15,22.5,133.88,Cash,Take Away,5,
ORD-006361,11-06-2025 11:40,CUST24392,Divya,27,Male,Member,Chennai,Triplicane,Cheese Sandwich,Food,1,220,15,33,196.35,Wallet,Take Away,5,
ORD-039541,19-08-2023 22:09,CUST16879,Harish,45,Other,Walk-in,Ambattur,OMR,Green Tea,Beverage,2,100,20,40,168,UPI,Dine In,4,
ORD-045154,03-01-2024 19:25,CUST20456,Sanjay,45,Female,Walk-in,Chengalpattu,Velachery,Latte,Beverage,2,170,15,51,303.45,Cash,Take Away,3,46
ORD-028826,08/26/2023 04:07,CUST14176,Nisha,29,Male,Walk-in,  Chengalpattu  ,T Nagar,Masala Tea,Beverage,1,90,0,0,94.5,Cash,Delivery,,66
ORD-041693,11-10-2025 22:55,CUST3334,Keerthi,,Other,New,Tambaram,Triplicane,Chocolate Muffin,Food,2,150,5,15,299.25,Cash,Delivery,,66
ORD-040845,08-11-2025 05:30,CUST7110,Nisha,30,Male,  Member  ,Ambattur,Porur,cold coffee,Beverage,1,190,15,28.5,169.58,Wallet,Take Away,2,
ORD-011255,26-01-2025 18:59,CUST8122,Rohit,65,Other,Walk-in,Chennai,Besant Nagar,Iced Latte,Beverage,1,180,5,9,179.55,Wallet,Take Away,5,15
ORD-047042,05-07-2023 12:48,CUST3448,Sneha,45,Other,Walk-in,Chennai,Mylapore,Latte,Beverage,1,170,0,0,178.5,Wallet,Delivery,,
ORD-014247,13-01-2025 01:42,CUST12058,Priya,19,Other,New,,T Nagar,Cappuccino,Beverage,5,160,0,0,840,Wallet,Dine In,5,
ORD-043726,20-02-2024 15:18,CUST11832,Karthik,65,Female,Walk-in,Kanchipuram,Triplicane,Chicken Sandwich,Food,2,260,0,0,546,UPI,Delivery,5,60
ORD-021036,27-11-2024 08:52,CUST1806,Priya,53,Female,New,Tambaram,  Adyar  ,Blueberry Muffin,Food,3,140,15,63,374.85,Credit card ,Dine In,1,27
ORD-017799,24-08-2025 00:08,CUST12527,Sneha,33,  Male  ,New,Kanchipuram,Porur,Veg Wrap,Food,5,200,10,100,945,Wallet,Dine In,5,36
ORD-038281,18-06-2024 22:17,CUST5203,Priya,28,Male,Member,Chengalpattu,Triplicane,Masala Tea,Beverage,3,90,10,27,255.15,Debit Card,Dine In,5,
ORD-001020,02-04-2025 15:55,CUST17593,Keerthi,56,,Regular,Chengalpattu,Adyar,Iced Latte,Beverage,1,180,20,36,151.2,UPI,Take Away,4,
ORD-023299,09-07-2025 06:54,CUST11314,Rahul,22,Male,New,Ambattur,Nungambakkam,Iced Latte,Beverage,2,180,5,18,359.1,Credit Card,Dine In,1,
ORD-026571,18-06-2025 02:06,CUST7325,Sanjay,45,Female,Regular,Kanchipuram,T Nagar,Hazelnut Coffee,Beverage,2,220,10,44,415.8,,Take Away,4,35
ORD-021697,24-01-2025 12:17,CUST8791,Ananya,19,  Male  ,Walk-in,tambaram,Velachery,Masala Tea,Beverage,4,90,15,54,321.3,Debit Card,Dine In,5,18
ORD-033720,06/19/2025 04:22,CUST20571,Ananya,56,Female,Regular,Ambattur,Anna Nagar,Caramel Macchiato,Beverage,1,230,20,46,193.2,Debit Card,Dine In,5,
ORD-025505,21-08-2023 11:10,CUST2913,Arun,49,Other,Walk-in,Ambattur,T Nagar,Caramel Macchiato,Beverage,1,230,0,0,241.5,Cash,Dine In,4,
ORD-047655,01-11-2025 01:22,CUST4346,Aishwarya,41,Male,New,Ambattur,Besant Nagar,Espresso,Beverage,1,110,15,16.5,98.17,Credit Card,Take Away,,
ORD-004618,13-08-2025 18:33,CUST17564,Vignesh,41,Male,Walk-in,Chengalpattu,Velachery,Chocolate Muffin,Food,2,150,0,0,315,Cash,Take Away,4,
ORD-047650,25-10-2023 19:23,CUST8317,Keerthi,44,Other,Walk-in,Chennai,Triplicane,Latte,Beverage,2,170,20,68,285.6,UPI,Take Away,4,32
ORD-049169,25-01-2025 13:39,CUST16910,,25,Female,Walk-in,Chengalpattu,Velachery,Latte,Beverage,1,170,0,0,178.5,Wallet,Delivery,4,
ORD-028913,30-10-2024 04:21,CUST14533,Divya,31,Male,Walk-in,Kanchipuram,Anna Nagar,Masala Tea,Beverage,1,90,15,13.5,80.33,Debit Card,Dine In,3,32
ORD-005010,08/30/2025 06:41,CUST19205,Ananya,32,Male,Walk-in,Kanchipuram,Anna Nagar,Hazelnut Coffee,Beverage,2,220,5,22,438.9,Wallet,Delivery,4,
ORD-014367,27-09-2025 17:33,CUST7959,Vignesh,41,Other,Member,Kanchipuram,Besant Nagar,Blueberry Muffin,Food,3,140,0,0,441,UPI,Delivery,4,46
ORD-035617,06/22/2024 19:44,CUST1073,Karthik,53,Male,Member,Chennai,ADYAR,French Fries,Food,2,160,10,32,302.4,UPI,Take Away,4,46
ORD-001727,02/22/2025 07:37,CUST19045,Arun,38,Female,New,Tambaram,Velachery,Filter Coffee,Beverage,3,90,0,0,283.5,Credit Card,Delivery,5,68
ORD-038200,28-11-2023 03:06,CUST15315,Aishwarya,55,Female,Member,Chengalpattu,Nungambakkam,Cappuccino,Beverage,1,160,15,24,142.8,Wallet,Dine In,4,14
ORD-006426,22-09-2024 00:10,CUST2895,harish,36,Female,Member,Tambaram,Adyar,Veg Wrap,Food,1,200,5,10,199.5,Cash,Take Away,4,43
ORD-013719,07-03-2023 00:46,CUST5220,Sanjay,46,Male,New,Chengalpattu,Anna Nagar,Brownie,Food,1,150,0,0,157.5,UPI,Dine In,3,17
ORD-009070,12/23/2025 20:55,CUST7335,Divya,31,,New,Tambaram,Porur,Chocolate Muffin,FOOD,1,150,0,0,157.5,UPI,Delivery,4,
ORD-011132,23-11-2025 23:35,CUST14046,Harish,63,Male,WALK-IN,Kanchipuram,Triplicane,Caramel Macchiato,Beverage,1,230,20,46,193.2,Debit Card,Delivery,3,
ORD-034527,02-12-2025 01:14,CUST11665,Rahul,30,Male,New,Kanchipuram,Anna Nagar,Cold Coffee,Beverage,1,190,10,19,179.55,Credit Card,Dine In,5,
ORD-007413,20-07-2023 05:24,CUST16851,Ananya,38,female,  Regular  ,Chennai,Anna Nagar,americano,Beverage,3,₹ 130,0,0,409.5,Debit Card,Take Away,2,25
ORD-033330,26-09-2023 21:02,CUST17357,Sneha,19,Other,Regular,Tambaram,Besant Nagar,Espresso,Beverage,1,110,10,11,103.95,Debit Card,Delivery,4,23
ORD-048157,25-03-2025 14:36,CUST6613,Ananya,38,Male,MEMBER,Kanchipuram,Triplicane,French Fries,Food,2,160,10,32,302.4,Credit Card,Take Away,5,
ORD-028814,07-05-2023 03:42,CUST8705,Rohit,26,Male,Member,Chennai,Porur,Hazelnut Coffee,Beverage,3,220,10,66,623.7,Debit Card,Delivery,5,61
ORD-000776,24-11-2025 12:11,CUST4072,Nisha,18,Other,Member,Chennai,Triplicane,Caramel Macchiato,Beverage,3,230,20,138,579.6,Debit Card,Take Away,3,57
ORD-022047,16-08-2025 17:51,CUST19841,Karthik,19,Male,Regular,Ambattur,Triplicane,Filter Coffee,Beverage,1,90,15,13.5,80.33,Cash,Dine In,5,
ORD-000700,08-11-2025 12:30,CUST18925,Monish,40,Male,Member,Kanchipuram,OMR,Cappuccino,Beverage,2,160,20,64,268.8,UPI,Dine In,5,
ORD-045844,19-03-2023 14:34,CUST12990,Vignesh,56,Other,New,Ambattur,Triplicane,Mocha,Beverage,2,210,15,63,374.85,Credit Card,Dine In,5,17
ORD-037800,16-09-2025 19:30,CUST7179,Arun,33,Other,New,Kanchipuram,Anna Nagar,Cold Coffee,Beverage,1,190,10,19,179.55,Credit Card,Take Away,,11
ORD-042124,21-07-2024 16:49,CUST17549,Vignesh,18,Male,Walk-in,Ambattur,Anna Nagar,Cappuccino,Beverage,1,160,0,0,168,Cash,Delivery,,
ORD-038810,29-08-2023 04:02,CUST7532,Nisha,31,Female,Regular,Chengalpattu,Triplicane,Cold Coffee,Beverage,2,190,10,38,359.1,Debit Card,Take Away,5,
ORD-007799,06-06-2024 07:35,CUST15615,Monish,58,Female,New,Ambattur,Velachery,Chocolate Muffin,Food,3,150,15,67.5,401.62,Cash,Dine In,4,
ORD-020643,30-04-2023 07:59,CUST9797,Vignesh,40,Female,Walk-in,Tambaram,OMR,Caramel Macchiato,Beverage,1,230,15,34.5,205.28,Debit Card,Take Away,1,
ORD-021502,03-02-2023 23:38,CUST9709,Karthik,65,Other,Walk-in,Kanchipuram,Nungambakkam,Masala Tea,Beverage,1,90,0,0,94.5,UPI,Dine In,5,
ORD-031180,08-05-2024 09:54,CUST21491,Nisha,57,Female,Member,Kanchipuram,Anna Nagar,Hazelnut Coffee,Beverage,1,220,0,0,231,Cash,Dine In,5,27
ORD-011503,10/13/2024 09:54,CUST3985,Rahul,26,Female,  Regular  ,Tambaram,Anna Nagar,Espresso,Beverage,0,110,0,0,115.5,UPI,Take Away,1,8
ORD-032986,06/13/2025 15:58,CUST5348,Monish,42,Female,Regular,Tambaram,Besant Nagar,Chicken Sandwich,Food,4,260,0,0,1092,UPI,Delivery,,
ORD-038444,09-02-2025 14:36,CUST5500,Karthik,57,FEMALE,Regular,Ambattur,Porur,Mocha,Beverage,1,210,0,0,220.5,Wallet,Take Away,5,
ORD-046647,07-04-2025 08:07,CUST23489,Sanjay,26,Male,Walk-in,Chengalpattu,Adyar,Croissant,Food,2,130,0,0,273,UPI,Delivery,4,
ORD-004137,09-01-2024 16:45,CUST19138,Nisha,63,,regular,Ambattur,Nungambakkam,Croissant,Food,1,130,15,19.5,116.03,Debit Card,Delivery,5,57
ORD-034644,13-08-2024 00:38,CUST16843,Harish,61,Male,Regular,Chengalpattu,Adyar,Hazelnut Coffee,Beverage,3,220,10,66,623.7,Debit Card,Dine In,5,
ORD-017604,29-10-2023 21:55,CUST14993,Priya,62,Other,Regular,Tambaram,OMR,Latte,Beverage,1,170,0,0,178.5,Cash,DELIVERY,3,
ORD-018621,17-09-2023 22:07,CUST14843,Keerthi,64,Female,Regular,Ambattur,Adyar,Masala Tea,Beverage,1,90,10,9,85.05,Credit Card,Delivery,,
ORD-032547,28-01-2025 08:25,CUST9776,Aishwarya,57,Female,Regular,Kanchipuram,Adyar,Green Tea,Beverage,2,100,10,20,189,Credit Card,Delivery,5,60
ORD-036563,12/26/2025 21:08,CUST11294,Harish,47,Other,Regular,chennai,T Nagar,Americano,Beverage,2,130,15,39,232.05,Credit Card,Dine In,4,
ORD-040755,22-11-2025 17:30,CUST4872,Arun,41,Other,Regular,Kanchipuram,Anna Nagar,  Veg Wrap  ,Food,2,200,0,0,420,Wallet,Take Away,5,
ORD-015461,15-01-2025 13:16,CUST8816,Rohit,21,Female,Member,Chennai,Porur,Caramel Macchiato,Beverage,1,230,0,0,241.5,Wallet,Delivery,3,
ORD-029167,07/13/2025 19:03,CUST13876,Sneha,21,Male,Member,Chennai,Triplicane,Iced Latte,Beverage,1,180,0,0,189,Debit Card,Dine In,5,40
ORD-021917,03-07-2025 20:25,CUST8362,Rohit,50,Other,New,,Nungambakkam,  Brownie  ,food,2,150,15,45,267.75,UPI,Take Away,4,39
ORD-026531,26-02-2024 02:29,CUST23126,Rohit,35,,Walk-in,Tambaram,Adyar,Cheese Sandwich,Food,1,220,10,22,207.9,Wallet,Dine In,,
ORD-027680,15-06-2024 10:32,CUST22906,Keerthi,34,male,Walk-in,Chennai,OMR,Chocolate Muffin,Food,1,150,10,15,141.75,Cash,Dine In,4,
ORD-002544,14-11-2025 17:51,CUST8213,Keerthi,41,Female,New,Chennai,Velachery,Cheese Sandwich,Food,3,220,0,0,693,Credit Card,Take Away,5,
ORD-019793,05-01-2024 00:38,CUST8092,Vignesh,37,Other,Regular,Chengalpattu,Adyar,Croissant,Food,2,130,10,26,245.7,UPI,Delivery,4,
ORD-012972,09-01-2024 18:04,CUST19854,Rahul,,Female,Regular,Tambaram,Mylapore,Caramel Macchiato,Beverage,1,230,10,23,217.35,UPI,Dine In,5,
ORD-018792,20-12-2025 02:37,CUST18158,Harish,33,Other,Regular,Chennai,Adyar,Caramel Macchiato,Beverage,1,230,10,23,217.35,Debit Card,Delivery,3,
ORD-020781,05-11-2024 20:02,CUST16680,Keerthi,26,Other,Walk-in,Chengalpattu,Triplicane,Espresso,Beverage,4,110,0,0,462,Credit Card,Delivery,5,
ORD-032191,06-11-2024 15:05,CUST12593,Meena,57,Other,Regular,Chennai,Besant Nagar,Hazelnut Coffee,Beverage,1,220,15,33,196.35,Cash,Delivery,5,
ORD-044007,07-03-2025 13:36,CUST5779,Sanjay,38,Other,New,Chengalpattu,Triplicane,Veg Wrap,Food,1,200,0,0,210,Debit Card,Take Away,4,
ORD-009096,01-06-2024 07:34,CUST5473,Vignesh,37,Other,New,Tambaram,Nungambakkam,Latte,Beverage,1,170,20,34,142.8,Wallet,Dine In,,
ORD-025101,27-03-2023 18:25,CUST12606,Keerthi,39,Other,Walk-in,Kanchipuram,Besant Nagar,Brownie,Food,1,150,5,7.5,149.62,CREDIT CARD,Dine In,5,
ORD-002293,09-10-2025 12:13,CUST4833,Aishwarya,28,Male,Regular,Chengalpattu,Velachery,Cold Coffee,Beverage,5,190,0,0,997.5,Wallet,Take Away,,29
ORD-025125,22-11-2023 21:01,CUST17053,Keerthi,64,Other,Walk-in,Chennai,Triplicane,Veg Wrap,Food,2,200,10,40,378,Credit Card,Delivery,3,34
ORD-010808,28-09-2025 23:50,CUST9651,Aishwarya,24,Female,Regular,Ambattur,Triplicane,Green Tea,Beverage,2,100,10,20,189,Cash,Dine In,3,27
ORD-023240,22-05-2024 18:48,CUST16712,Arun,19,Male,New,Chennai,Besant Nagar,Brownie,Food,2,150,0,0,315,Debit Card,Dine In,5,67
ORD-010253,08-01-2023 02:14,CUST12466,Keerthi,50,Male,Walk-in,Kanchipuram,OMR,Cappuccino,Beverage,1,160,20,32,134.4,Cash,Take Away,5,37
ORD-040727,14-07-2023 08:34,CUST15778,Meena,59,Other,Regular,Tambaram,Velachery,Mocha,Beverage,1,210,10,21,198.45,UPI,Take Away,5,
ORD-049310,27-12-2023 04:31,CUST10312,Monish,48,Female,New,Tambaram,t nagar,Caramel Macchiato,Beverage,1,230,0,0,241.5,Cash,Take Away,3,
ORD-018910,31-10-2025 10:11,CUST13856,Ananya,20,Female,Member,Chennai,OMR,Mocha,Beverage,2,210,15,63,374.85,Debit Card,Take Away,5,
ORD-034321,09-09-2025 18:39,CUST2054,Aishwarya,55,Female,Walk-in,Chennai,Adyar,Latte,Beverage,2,170,15,51,303.45,Cash,Dine In,,
ORD-020109,29-07-2023 21:38,CUST2804,Harish,42,Female,New,tambaram,Mylapore,Caramel Macchiato,Beverage,1,230,10,23,217.35,cash ,Take Away,3,
ORD-003898,11-09-2025 21:22,CUST13586,Karthik,39,Male,Regular,Chennai,OMR,Cheese Sandwich,Food,1,220,0,0,231,Cash,Take Away,4,28
ORD-003186,18-06-2024 16:27,CUST24668,Keerthi,40,Other,Member,Ambattur,T Nagar,Chocolate Muffin,Food,1,150,20,30,126,Debit Card,Delivery,5,
ORD-049832,06/21/2025 14:51,CUST13637,Vignesh,39,Other,New,Ambattur,Besant Nagar,Cheese Sandwich,Food,1,220,0,0,231,Debit Card,Dine In,,
ORD-039780,01/17/2024 02:35,CUST3457,Rahul,48,Other,New,Tambaram,OMR,Veg Wrap,Food,1,200,0,0,210,Cash,Delivery,4,28
ORD-046770,11-09-2023 13:21,CUST2245,Nisha,63,Other,Regular,Tambaram,Adyar,Blueberry Muffin,Food,2,140,0,0,294,UPI,Take Away,5,35
ORD-044294,24-10-2024 04:13,CUST14125,Sanjay,48,Other,New,Kanchipuram,Triplicane,Brownie,Food,1,150,10,15,141.75,Credit Card,Delivery,5,41
ORD-046365,09-09-2024 07:43,CUST21670,Vignesh,54,Female,Walk-in,Kanchipuram,T Nagar,Veg Wrap,Food,1,200,10,20,189,UPI,Delivery,4,21
ORD-031043,24-11-2024 21:46,CUST4445,Ananya,60,Male,New,Chennai,Nungambakkam,Veg Wrap,Food,1,200,5,10,199.5,Credit Card,Dine In,,
ORD-022072,02-09-2024 17:26,CUST12695,Rahul,63,Female,Regular,Kanchipuram,Velachery,Green Tea,Beverage,1,100,0,0,105,Cash,DELIVERY,3,
ORD-030826,16-09-2025 00:35,CUST22010,Meena,35,Other,Walk-In,tambaram,Mylapore,cold coffee ,Beverage,5,190,0,0,997.5,,Dine In,5,
ORD-023126,02-06-2024 09:02,CUST8603,Arun,38,Female,New,Kanchipuram,Mylapore,Croissant,Food,4,130,10,52,491.4,UPI,Delivery,4,67
ORD-036233,02/18/2023 05:58,CUST4447,Keerthi,44,,Regular,Chennai,Porur,Cold Coffee,Beverage,3,190,0,0,598.5,Credit Card,Dine In,5,
ORD-004401,17-07-2024 17:25,CUST24169,Monish,33,Other,Member,Kanchipuram,Porur,Cappuccino,Beverage,1,160,15,24,142.8,UPI,Delivery,5,
ORD-033630,27-07-2024 05:56,CUST23996,Priya,43,Male,New,Kanchipuram,Nungambakkam,Croissant,Food,3,130,0,0,409.5,Debit Card,Dine In,5,46
ORD-043605,19-07-2023 23:32,CUST21594,Aishwarya,58,Female,Walk-in,Kanchipuram,Anna Nagar,Cold Coffee,Beverage,3,190,5,28.5,568.58,UPI,Delivery,5,
ORD-014948,27-08-2025 03:33,CUST9235,Ananya,28,OTHER,Regular,Tambaram,Besant Nagar,Chicken Sandwich,Food,1,260,10,26,245.7,Credit Card,Dine In,5,
ORD-035996,05-07-2023 04:43,CUST21589,Sanjay,52,Male,Member,Tambaram,Triplicane,Green Tea,  Beverage  ,4,100,5,20,399,DEBIT CARD,Delivery,5,
ORD-047120,01-05-2023 23:44,CUST21421,Aishwarya,42,Other,Member,Kanchipuram,Adyar,Filter Coffee,Beverage,2,90,15,27,160.65,Wallet,Dine In,4,
ORD-015041,16-03-2024 20:08,CUST4806,Monish,61,Female,Regular,Kanchipuram,T Nagar,French Fries,Food,1,160,0,0,168,Credit Card,Dine In,5,
ORD-045662,01/30/2025 23:29,CUST19994,Keerthi,63,Male,New,Tambaram,Porur,Filter Coffee,Beverage,1,90,0,0,94.5,Debit Card,Dine In,4,35
ORD-033937,28-05-2024 06:54,CUST19570,Meena,40,Male,Regular,Ambattur,Adyar,Latte,Beverage,4,170,0,0,714,UPI,Delivery,3,
ORD-011444,20-08-2023 03:18,CUST19896,Sanjay,62,Male,Member,Kanchipuram,OMR,Blueberry Muffin,Food,1,140,15,21,124.95,UPI,Delivery,2,
ORD-049493,11-11-2023 21:23,CUST23981,Harish,52,Female,New,Ambattur,Besant Nagar,Filter Coffee,Beverage,1,90,20,18,75.6,CASH,Take Away,5,50
ORD-032550,05-04-2024 17:50,CUST9307,Sneha,23,Other,New,Chengalpattu,Velachery,Hazelnut Coffee,BEVERAGE,1,220,10,22,207.9,Credit Card,Take Away,5,
ORD-012913,08-08-2023 05:34,CUST12214,Meena,47,Other,Regular,Chennai,T Nagar,Espresso,Beverage,1,110,0,0,115.5,UPI,Take Away,4,
ORD-048868,28-06-2025 12:52,CUST5175,Ananya,30,Female,New,Kanchipuram,Triplicane,Veg Wrap,Food,1,200,10,20,189,Debit Card,Take Away,5,
ORD-023303,07-04-2025 16:41,CUST18059,,44,,Regular,Ambattur,Porur,Iced Latte,Beverage,1,180,10,18,170.1,Debit Card,Dine In,4,
ORD-025023,12-09-2025 00:52,CUST23611,Sneha,33,Female,Walk-in,Ambattur,MYLAPORE,Iced Latte,Beverage,1,180,46,82.8,102.06,Wallet,Delivery,,
ORD-017409,11-06-2023 14:02,CUST21814,Divya,32,Male,Member,Ambattur,T Nagar,Latte,Beverage,1,170,10,17,160.65,Credit Card,Delivery,5,
ORD-039555,18-01-2023 19:49,CUST20711,Rahul,37,Female,Walk-in,Chengalpattu,Porur,Croissant,Food,1,130,0,0,136.5,Credit Card,Dine In,4,
ORD-030061,06-12-2024 01:16,CUST11444,Harish,33,Female,New,Chennai,Porur,Filter Coffee,Beverage,2,90,0,0,189,Wallet,Delivery,,
ORD-044122,28-05-2023 18:11,CUST6231,Rahul,36,Female,Walk-in,Ambattur,Adyar,  Latte  ,Beverage,1,170,0,0,178.5,Credit Card,Delivery,2,
ORD-026030,10-07-2024 06:42,CUST23425,Harish,36,Female,Regular,Chengalpattu,Mylapore,Masala Tea,Beverage,1,90,10,9,85.05,Debit Card,Take Away,,
ORD-037309,23-09-2023 00:54,CUST10832,Sanjay,64,Female,New,Tambaram,velachery,Brownie,Food,1,150,10,15,141.75,Credit Card,TAKE AWAY,3,66
ORD-041030,29-01-2025 21:16,CUST1708,Arun,54,Male,Member,Kanchipuram,Mylapore,Latte,Beverage,1,170,0,0,178.5,Wallet,Dine In,4,
ORD-048804,05/25/2023 00:52,CUST23131,Rahul,,Other,Member,Chengalpattu,Velachery,Croissant,Food,1,130,10,13,122.85,Debit Card,Take Away,5,
ORD-027818,27-05-2023 05:34,CUST15970,Divya,40,Other,  Member  ,Tambaram,Anna Nagar,Chocolate Muffin,Food,1,150,10,15,141.75,Debit Card,Dine In,5,
ORD-048817,18-08-2023 21:35,CUST14584,Sneha,48,Other,New,  Kanchipuram  ,T Nagar,Hazelnut Coffee,Beverage,1,220,0,0,231,Debit Card,Delivery,5,
ORD-034911,25-05-2023 01:32,CUST15909,Nisha,51,Male,Member,Kanchipuram,OMR,Iced Latte,Beverage,2,180,20,72,302.4,UPI,Take Away,5,28
ORD-036554,11-11-2025 12:08,CUST16067,Keerthi,24,Male,Walk-in,Chengalpattu,Velachery,French Fries,Food,2,160,10,32,302.4,Credit Card,Take Away,4,27
ORD-024270,08/22/2023 12:04,CUST23557,Meena,21,Female,Regular,Kanchipuram,Porur,Cheese Sandwich,Food,1,220,5,11,219.45,Cash,Delivery,5,
ORD-031712,05-07-2023 14:24,CUST14588,Priya,19,Other,Regular,Chennai,Velachery,Espresso,Beverage,1,110,5,5.5,109.73,Credit Card,Take Away,5,
ORD-010441,22-12-2025 05:15,CUST1905,Meena,60,Female,Walk-in,Kanchipuram,Mylapore,Masala Tea,Beverage,1,90,20,18,75.6,Wallet,  Dine In  ,,
ORD-027285,09-05-2023 21:14,CUST19185,Sneha,19,Other,New,Chengalpattu,Porur,Caramel Macchiato,Beverage,2,230,10,46,434.7,Wallet,Delivery,4,15
